category,name,link,flavor profiles
Additive,Agar,https://cosylab.iiitd.edu.in/flavordb/entity_details?id=494,"sweet, new mown hay, green, tonka, bitter, bitter, musty, coffee, cocoa, nutty, almond, sulfurous, potato, onion, vegetable, sweet, soup, prune, cananga, floral, wintergreen, lettuce, sweet, almond, herb, phenolic, lemon, citrus, bitter, sweet, sharp, mint, ether, waxy, grape, sweet, rum, fruity, citrus, rose, waxy, floral, sweet, fruity, geranium, odorless, sweet, butterscotch, caramel, sweet, candy, bitter, magnolia, jasmine, fresh, waxy, floral, oily, melon, petal, phenolic, balsamic, mild, bitter, bitter, sulfur, garlic, gasoline, decomposing cabbage, bitter, cherry, almond, sweet, burnt sugar, sharp, strong, bitter, berry, balsamic, rose, floral, walnut, sweet, cherry, phenolic, flower, grapefruit, sweet, bitter, bitter, grassy, very mild, bitter, odorless, sweet, sour, odorless, mild, odorless, bitter, shrimp, ammoniacal, menthol, camphor, peppermint, deep, herbal, raspberry, bitter, camphoraceous, leafy, grass, sweaty, tallow, fat, fresh, fatty, fruity, aldehydic, green, waxy, rose, lavender, green, floral, bitter, bitter, roasted, onion, malt, wine, fruity, apple, fresh, banana, sweet, fruity, grassy, green, nutty, faint, phenolic, vanilla, chocolate, sweet, creamy, oil, powdery, cinnamic, bitter, sweet, balsam, hyacinth, spicy, green, hyacinth, spicy, powdery, sweet, cinnamic, balsam, green, bitter, peppery, mustard, garlic, onion, fish, pungent, mustard, pungent, bitter, carnation, clove, floral, sweet, woody, flower, spicy, phenolic, bland, tobacco, rose, floral, sweet, honey, fruity, tropical, honeysuckle, sour, waxy, floral, sweet, honey, civet, flower, malt, fresh, floral, pungent, aldehydic, green, bitter, apple, fatty, fruity, leaf, grassy, weedy, green, spice, warm, red hots, paint, clove, sweet, candy, cinnamon, odorless, pepper, apple, mushroom, citrus, musty, rubber, nutty, green, hazelnut, bitter, lemongrass, minty, mint, fresh, peppermint, sweet, cool, minty, green, potato, vegetable, tomato, fishy, musty, earthy, creamy, peanut, cooked potato, beef, lilac, rose, rose water, honey, rose flower, floral, spice, bitter, rose dried, camphoraceous, minty, sweet, mentholic, sour, odorless, lemon, citrus, soap, orange peel, fat, waxy, fatty, aldehydic, green, bitter, bitter, hyacinth, honey, clover, sweet, hawthorne, cocoa, grapefruit, green, peanut, floral, bitter, bitter, oil, pineapple, balsamic, herbal, strawberry, oily, faint, sweet, balsam, cherry, almond, herb, cheese, leafy, alcohol, pepper, wine, green, fresh, fruit, unripe banana, fruity, leaf, walnut, moss, bitter, fresh, fatty, earthy, intensely, green, bitter, balsamic, rose, fatty, sweet, musk, cinnamon, pineapple, ethereal, sweet, anise, fruity, balsam, weedy, green, oil, alcoholic, burnt, whiskey, malt, banana, fusel, fruity, solvent, alcohol, whiskey, wine, earthy, cocoa, pungent, nutty, ethereal, pungent, tropical, metallic, spicy, green, lemon, lemon peel, sweet, citral, brown, sweet, pungent, fruity, cherry, nutty, almond, ethereal, acetone, ether, floral, sweet, fruity, mild, cherry, almond, herbal, woody, thyme, wood, medicine, dry, burnt, jasmine, mothball, animal, fishy, floral, moth ball, naphthelene, honey, fecal, waxy, bitter, fatty, cheese, creamy, citrus, ozone, fat, herbal, fresh, wine-lee, rancid, fatty, aldehydic, green, odorless, solvent, apple, pear, ethereal, ethereal, ether, fruity, acetone, camphor, butter, caramel, oily, creamy, sweet, pungent, strong, acidic, odorless, bitter, woody, sweet, balsam, nutty, almond, storax, sweet, honey, balsam, floral, minty, bitter, almond, medical, bitter, dry, balsam, balsamic, peach, sour, chocolate, ethereal, malt, fatty, aldehydic, orange, linden, mild, clove, fresh, waxy, floral, muguet, sweet, anise, lily, balsam, angelica, pear, grapefruit"
Additive,Casein,https://cosylab.iiitd.edu.in/flavordb/entity_details?id=789,"mild, sour, bitter, grassy, very mild, sour, cheesy, sweat, rancid, cheese"
Additive,Cooking Oil,https://cosylab.iiitd.edu.in/flavordb/entity_details?id=901,"bitter, grassy, very mild, bland, sour, cheesy, sweat, rancid, cheese"
Additive,Fruit Preserve,https://cosylab.iiitd.edu.in/flavordb/entity_details?id=790,"bitter, mild, sour, bitter, grassy, very mild, sour, cheesy, sweat, rancid, cheese"
Additive,Gelatin,https://cosylab.iiitd.edu.in/flavordb/entity_details?id=793,"mild, sour, bitter, grassy, very mild, sour, cheesy, sweat, rancid, cheese"
Additive,Gelatin Dessert,https://cosylab.iiitd.edu.in/flavordb/entity_details?id=850,"mild, sour, bitter, grassy, very mild, sour, cheesy, sweat, rancid, cheese, bitter, bland"
Additive,Icing,https://cosylab.iiitd.edu.in/flavordb/entity_details?id=827,"bitter, grassy, very mild, bland, sour, cheesy, sweat, rancid, cheese"
Additive,Ketchup,https://cosylab.iiitd.edu.in/flavordb/entity_details?id=880,"mild, sour, bitter, grassy, very mild, sour, cheesy, sweat, rancid, cheese, bitter, bland"
Additive,Leavening Agent,https://cosylab.iiitd.edu.in/flavordb/entity_details?id=791,"mild, sour, bitter, grassy, very mild, sour, cheesy, sweat, rancid, cheese, bitter, bland"
Additive,Margarine,https://cosylab.iiitd.edu.in/flavordb/entity_details?id=961,"bitter, mild, sour, bitter, grassy, very mild, sour, cheesy, sweat, rancid, cheese"
Additive,Margarine Like Spread,https://cosylab.iiitd.edu.in/flavordb/entity_details?id=962,"mild, sour, bitter, grassy, very mild, sour, cheesy, sweat, rancid, cheese, bitter, bland"
Additive,Miso,https://cosylab.iiitd.edu.in/flavordb/entity_details?id=822,"bitter, bitter, bitter, bitter, bitter, mild, sour, bitter, grassy, very mild, sour, cheesy, sweat, rancid, cheese"
Additive,Molasses,https://cosylab.iiitd.edu.in/flavordb/entity_details?id=908,"bitter, grassy, very mild"
Additive,Pectin,https://cosylab.iiitd.edu.in/flavordb/entity_details?id=858,"bitter, grassy, very mild"
Additive,Salt,https://cosylab.iiitd.edu.in/flavordb/entity_details?id=778,"bitter, mild, sour, bitter, grassy, very mild, sour, cheesy, sweat, rancid, cheese"
Additive,Sauce,https://cosylab.iiitd.edu.in/flavordb/entity_details?id=777,"mild, sour, bitter, grassy, very mild, sour, cheesy, sweat, rancid, cheese, bitter, bland"
Additive,Shortening,https://cosylab.iiitd.edu.in/flavordb/entity_details?id=905,"bitter, grassy, very mild, sour, cheesy, sweat, rancid, cheese"
