category,name,link
Additive,Agar,https://cosylab.iiitd.edu.in/flavordb/entity_details?id=494
Additive,Casein,https://cosylab.iiitd.edu.in/flavordb/entity_details?id=789
Additive,Cooking Oil,https://cosylab.iiitd.edu.in/flavordb/entity_details?id=901
Additive,Fruit Preserve,https://cosylab.iiitd.edu.in/flavordb/entity_details?id=790
Additive,Gelatin,https://cosylab.iiitd.edu.in/flavordb/entity_details?id=793
Additive,Gelatin Dessert,https://cosylab.iiitd.edu.in/flavordb/entity_details?id=850
Additive,Icing,https://cosylab.iiitd.edu.in/flavordb/entity_details?id=827
Additive,Ketchup,https://cosylab.iiitd.edu.in/flavordb/entity_details?id=880
Additive,Leavening Agent,https://cosylab.iiitd.edu.in/flavordb/entity_details?id=791
Additive,Margarine,https://cosylab.iiitd.edu.in/flavordb/entity_details?id=961
Additive,Margarine Like Spread,https://cosylab.iiitd.edu.in/flavordb/entity_details?id=962
Additive,Miso,https://cosylab.iiitd.edu.in/flavordb/entity_details?id=822
Additive,Molasses,https://cosylab.iiitd.edu.in/flavordb/entity_details?id=908
Additive,Pectin,https://cosylab.iiitd.edu.in/flavordb/entity_details?id=858
Additive,Salt,https://cosylab.iiitd.edu.in/flavordb/entity_details?id=778
Additive,Sauce,https://cosylab.iiitd.edu.in/flavordb/entity_details?id=777
Additive,Shortening,https://cosylab.iiitd.edu.in/flavordb/entity_details?id=905
Additive,Spirulina,https://cosylab.iiitd.edu.in/flavordb/entity_details?id=650
Additive,Spread,https://cosylab.iiitd.edu.in/flavordb/entity_details?id=875
Additive,Stuffing,https://cosylab.iiitd.edu.in/flavordb/entity_details?id=956
Additive,Sugar,https://cosylab.iiitd.edu.in/flavordb/entity_details?id=781
Additive,Sugar Substitute,https://cosylab.iiitd.edu.in/flavordb/entity_details?id=785
Additive,Syrup,https://cosylab.iiitd.edu.in/flavordb/entity_details?id=803
Additive,Topping,https://cosylab.iiitd.edu.in/flavordb/entity_details?id=840
Additive,Water,https://cosylab.iiitd.edu.in/flavordb/entity_details?id=794
Animal Product,Egg,https://cosylab.iiitd.edu.in/flavordb/entity_details?id=0
Bakery,Bagel,https://cosylab.iiitd.edu.in/flavordb/entity_details?id=925
Bakery,Bakery Products,https://cosylab.iiitd.edu.in/flavordb/entity_details?id=1
Bakery,Biscuit,https://cosylab.iiitd.edu.in/flavordb/entity_details?id=485
Bakery,Bread,https://cosylab.iiitd.edu.in/flavordb/entity_details?id=2
Bakery,Candy Bar,https://cosylab.iiitd.edu.in/flavordb/entity_details?id=959
Bakery,Chocolate Mousse,https://cosylab.iiitd.edu.in/flavordb/entity_details?id=945
Bakery,Corn Chip,https://cosylab.iiitd.edu.in/flavordb/entity_details?id=847
Bakery,Focaccia,https://cosylab.iiitd.edu.in/flavordb/entity_details?id=924
Bakery,French Toast,https://cosylab.iiitd.edu.in/flavordb/entity_details?id=928
Bakery,Fried Potato,https://cosylab.iiitd.edu.in/flavordb/entity_details?id=374
Bakery,Fudge,https://cosylab.iiitd.edu.in/flavordb/entity_details?id=958
Bakery,Marshmallow,https://cosylab.iiitd.edu.in/flavordb/entity_details?id=792
Bakery,Meringue,https://cosylab.iiitd.edu.in/flavordb/entity_details?id=810
Bakery,Multigrain Bread,https://cosylab.iiitd.edu.in/flavordb/entity_details?id=933
Bakery,Oat Bread,https://cosylab.iiitd.edu.in/flavordb/entity_details?id=929
Bakery,Other Bread Product,https://cosylab.iiitd.edu.in/flavordb/entity_details?id=926
Bakery,Pan Dulce,https://cosylab.iiitd.edu.in/flavordb/entity_details?id=935
Bakery,Pasta,https://cosylab.iiitd.edu.in/flavordb/entity_details?id=484
Bakery,Phyllo Dough,https://cosylab.iiitd.edu.in/flavordb/entity_details?id=900
Bakery,Pie Crust,https://cosylab.iiitd.edu.in/flavordb/entity_details?id=902
Bakery,Piki Bread,https://cosylab.iiitd.edu.in/flavordb/entity_details?id=927
