English Name,Korean Name,Link,Ingredients with Quantity,Ingredients without Quantity,Making Steps
Tofu soup with clams,�κ�������,https://www.maangchi.com/recipe/dubu-jogaetguk,"2 teaspoonstoasted sesame oil, 4 garlic cloves, minced, �� of medium sized onion (about 70 grams), chopped, 2 cups anchovy kelp stock (or chicken, beef,vegetable stock), 1 cup frozen or fresh clam meat, rinsed and drained, 1 package ofsoftormedium tofu(14 ounces), crushed, 3 to 4 green onions, cut into 1 inch long, 1 tablespoonfish sauce(or salt to your taste), 2 tablespoonstoasted sesame seeds(see how to toast your own sesame seeds), ground, �� teaspoon ground black pepper","anchovy kelp stock, clam meat, dried anchovies, dried kelp, fish sauce, garlic, green onion, ground black pepper, onion, toasted sesame oil, toasted sesame seeds, tofu, water,","In a pan, combine the water, cleaned dried anchovies, and dried kelp., Cook over medium-high heat for 20 minutes. You will end up with approximately 3 cups of flavorful stock., Heat up a heavy medium pan. Add sesame oil, garlic, and onion., Saut? the garlic and onion with a wooden spoon for a few minutes, until the onion becomes slightly translucent., Pour in the stock and bring it to a rolling boil over medium-high heat, which should take about 5 to 6 minutes., Now add the clam meat, crushed tofu, and green onions to the boiling stock. Cover and let the soup cook for another 5 minutes., Remove from the heat and add fish sauce (or salt to your taste)., Give the soup a gentle stir to incorporate the flavors and then ladle the soup into two large bowls., Sprinkle ground sesame seeds on top of each bowl for added flavor and garnish., Serve the delicious soup with rice, kimchi, and any other desired side dishes."
Korean-style shabu-shabu hot pot,�������,https://www.maangchi.com/recipe/shabu-shabu,"8 cups plus an extra 4 cupsanchovy kelp stock(orvegetable stock), 1 teaspoonKosher salt, 1 pound shaved beef (sirloin steak), 7 ounces (about 200 grams) freshly made packaged noodles (or  1 bowl of rice or �� cup uncookedrice, soaked in water for 30 minutes), 4 to 8 ounces bok choy, with the leaves separated from the stalks, washed and drained, 4 to 8 ouncesNapa cabbage, washed and drained, cut into bite size pieces, 1 red bell pepper with the seeds removed, sliced into rings, 4 large white mushrooms, sliced, 1 egg, beaten","anchovy kelp stock, bok choy, egg, fish sauce, garlic, honey, kosher salt, lemon juice, napa cabbage, peanut butter, red bell pepper, sea scallops, shaved beef, shrimp, squid, vegetable stock, white mushrooms,","Combine 8 cups of stock and 1 teaspoon salt in a shabu-shabu pot (or a large pan, or a deep skillet). Mix well and set aside., Put the other 4 cups of stock into a different bowl. Set aside., Combine the peanut butter, garlic, fish sauce, squeezed lemon juice and honey in a small bowl., Mix well with a spoon and set aside., Combine doenjang, garlic, vinegar, honey, and ground sesame seeds in a small bowl., Mix well with a spoon and set aside., Put your gas burner (or electric burner) in the middle of your table. Place the pot with 8 cups of stock on the burner., Put the beef, seafood (if used), vegetables, mushrooms, noodles, and the sauces on the table., For each table setting add a small plate, 2 small bowls for sauces, 1 empty bowl (for noodle soup later), a personal straining ladle, and some chopsticks., Put one set of tongs and a ladle for handling the shabu-shabu on the table., Everyone sits down at the table, around the burner. Pour some drinks, if you want!, Turn on the heat under the pot. When the stock starts boiling, add some of the vegetables and cook for about 1 minute., Pick up some beef, and some seafood (if used) with the tongs and add them to the boiling stock. Cook for just a few seconds., To eat, fish out beef or seafood first. Put in on your small plate, and then use chopsticks to dip it into one of the sauces and eat. Vegetables and mushrooms may take a little longer to cook, so you can eat those a little later., If you want to cook slower, you can lower the heat on the burner. When the stock gets too low, replenish it with some of the extra 4 cups stock you have kept in a separate bowl., When you and your guests are almost finished eating, increase the heat under the pot to medium high and add the noodles (or soaked rice) and cook for a few minutes., Stir with a ladle until the noodles (or rice) looks a little translucent and is cooked nicely. Drizzle in the beaten egg ? without stirring ? until it sets., Gently stir the noodle soup with a ladle. Transfer some to individual bowls and enjoy!"
Quinoa nurungji,��� ������,https://www.maangchi.com/recipe/quinoa-nurungji,"1 cup brown rice, 1 cupglutinous rice(or any kind of white rice), 1 cupquinoa, �� cupblack sweet rice(or black rice)","black rice, black sweet rice, brown rice, quinoa, sweet rice, white rice,","Combine the grains and seeds in the inner pot of the pressure cooker. Cover with cold water and carefully tilt the pot to slowly pour out the water, taking care not to pour out any grains or seeds., Swish the wet grains and seeds around in the pot with one hand, then fill the pot with cold water again. Swish, and drain, do this a few more times, changing the water each time, until the water runs clear. Drain as much of the water as you can. The grains and seeds will still be wet., Add 3 cups cold water. Dry off the outside of the pot and place it into the pressure cooker., Close the lid, set for multigrain rice, press start and let it cook. When it finishes, fluff it with a rice scoop and then use., Combine the grains and seeds in the inner pot of the rice cooker. Cover with cold water and carefully tilt the pot to slowly pour out the water, taking care not to pour out any grains or seeds., Swish the wet grains and seeds around in the pot with one hand, then fill the pot with cold water again. Swish, and drain, do this a few more times, changing the water each time, until the water runs clear. Drain as much of the water as you can. The grains and seeds will still be wet., Add 3 cups cold water. Dry off the outside of the pot and place it into the rice cooker. Close the lid and let soak for at least 3 hours, or overnight., Press start and let it cook. When it finishes, fluff it with a rice scoop and then use., Combine the grains and seeds in a saucepan and cover with cold water. Carefully tilt the pan and slowly pour out the water, taking care not to pour out any grains or seeds., Swish the wet grains and seeds around in the pan with one hand, then fill the pan with cold water again. Swish, and drain, do this a few more times, changing the water each time, until the water runs clear. Drain as much of the water as you can. The grains and seeds will still be wet., Add 3 cups cold water, cover the pan, and let soak for at least 3 hours, or overnight., Heat up the pan, still covered, over medium-high heat and let the water come to a boil. This should take 8 to 10 minutes. The cover will shake and the water will begin to boil over. As soon as this happens, remove the lid to allow steam to escape., Stir the grains and seeds with a rice scoop to make sure that none are sticking to the bottom of the pan., Cover, reduce the heat to low, and simmer for 8 to 10 minutes., Taste to see if it��s fully cooked and fluffy. If it��s still slightly hard, cover and simmer for 3 to 5 minutes more, until it��s fully tender. When it finishes, fluff it with a rice scoop and then use., Evenly spread the rice with a rice scoop or a wooden spoon over the bottom of 16-by-12-inch baking sheet lined with parchment paper., Dip both your hands into a small bowl of cold water and then press down on top of the rice so that it��s packed and all sticks together., Preheat your oven to 400��F (204��C) and bake it for 1 hour on the middle rack., Remove it from the oven and put it on the kitchen table. Flip it over using a large spatula and remove the parchment paper., Divide into 12 to 16 pieces with a spatula or a scraper, then cut with kitchen scissors to totally separate them but leave them in place., Put it back to the oven and bake for another 30 minutes until very crunchy and nutty., Remove from the oven and let it cool down., Let it cool down a little bit. Then carefully separate each piece of nurungji and put them into a plastic bag or an airtight container., When you��re ready to make soup with them, add 2 or 3 pieces into a saucepan for one serving., Add a little more than enough water to submerge the nurungji, boil, and then simmer until the soup is flavorful and the grains are soft., Serve with kimchi or with a few more side dishes."
Knife-cut noodle soup with perilla seeds,���Į����,https://www.maangchi.com/recipe/deulkkae-kalguksu,"2�� cups all-purpose flour, plus more for dusting, �� cuppotato starch, �� teaspoonkosher salt, 1 tablespoon vegetable oil, 1 cup water","all-purpose wheat flour, anchovy kelp stock, carrot, garlic, kosher salt, onion, perilla seeds powder, potato starch, toasted perilla seeds, toasted sesame oil, vegetable oil, vegetable stock, water, zucchini,","Combine the flour, potato starch, salt, oil, and 1 cup water in a large bowl. Mix with a wooden spoon until the ingredients come together into a lump. Put it in a plastic bag and set aside at least 10 minutes., Knead the dough by hand until it forms a smooth ball, 10 to 15 minutes. Put the dough back in the plastic bag and seal it tightly until you are ready to use it., When ready, remove the dough ball from the bag. Knead for 1 minute., Roll the dough ball out into a rectangle, about 20 by 14 inches, flipping it over occasionally to make it even and flat. If you need to, sprinkle some flour on it when you flip, to keep it from sticking. Sprinkle the dough with flour and fold up into thirds or quarters, sprinkling the folded surface with flour each time you fold it over to prevent it from sticking together., Cut into thin noodles. Sprinkle more flour over all the noodles., Unfold the noodles by gently tossing them into the air and letting them fall down softly onto the cutting board. Repeat until all the noodles are unfolded and separated., Pour 6 cups of stock into a large pot., Add 1 cup toasted perilla seeds and 2 cups stock (or water) to a blender. Blend at high speed for 1 to 2 minutes, until everything is smooth and creamy., Pour the perilla mixture into a straining sack sitting in the stock pot. Press the sides of the sack with a wooden spoon so the perilla mixture seeps through, into the stock., Lift the sack over the stock pot and squeeze the mixture through the sack with both hands. Get as much of the mixture strained through sack as you can, until all that is left is dry dregs. Discard the solids., Add onion, carrot, and zucchini to the stock pot and bring it to a boil., Add 1 cup perilla seeds powder to 8 cups stock and mix well, Add onion, carrot, and zucchini (or squash) and bring it to a boil., Shake off some flour from the noodles and add to the boiling soup. Stir the soup with a wooden spoon so that the noodles don��t stick to each other., Cover and cook over high heat for about 5 minutes until the noodles are cooked through and floating., Stir in garlic, salt, and sesame oil."
Anchovy kelp stock,��ġ�ٽø�����,https://www.maangchi.com/recipe/myeolchi-dasima-yuksu,"8 largedried anchovies(2�� inch long), guts and heads removed, �� ouncedried kelp(about 15 grams), 8 ouncesKorean radishordaikon, cut into very thin pieces, 2 green onions including the roots, cut into 3 to 4 times, 3 ounces onion (about �� cup), sliced thinly, 3 quarts (12 cups) water","daikon radish, dried anchovies, dried kelp, green onion, Korean radish, onion, water,","Heat a large pot over medium high heat and add the anchovies. Periodically stir with a wooden spoon and cook the anchovies for about 3 to 4 minutes until they smell a little nutty., Remove from the heat. Add the radish, green onion, onion, dried kelp, and water. Cover and cook for 10 minutes., Open and stir it a few times, then close. Lower the heat to medium and cook for another 30 minutes until the radish and onion turn translucent. If the radish is still not translucent after 30 minutes, add more water and cook a little longer., Remove from the heat. Strain the stock over a large bowl. Discard the cooked ingredients except for the kelp. You will get about 9 to 10 cups stock, which you can use right away or freeze for up to 3 months., You can make a good side dish with the cooked kelp (see the recipe below)., Cut the kelp into thin strips., Heat up a small pan with a few drops of cooking oil., Add the kelp and 1 teaspoon minced garlic. Stir with a wooden spoon., Stir in about 2 teaspoons soy sauce and 1 tablespoon rice syrup for about 1 minute, until the kelp turns shiny a little bit withered. Remove from the heat and stir in some toasted sesame oil., Transfer to a small plate and sprinkle with toasted sesame seeds. Serve with rice."
Beef bone broth,��񱹹�,https://www.maangchi.com/recipe/sagol-gukmul,6 pounds sliced beef leg bones and/or knuckle bones,"beef bones,","Rinse the bones in cold water to remove blood and bone fragments. Place in a large bowl of cold water and soak for 8 hours or overnight. While soaking, change the water a couple of times., Drain the bones and put them into a large stock pot. I use my 10 quart stock pot. Add water until the bones are submerged., Cover and boil for about 20 minutes over high heat, until it is vigorously boiling. You will see lots of floating brownish stuff and fat., Remove from the heat. Drain the bones, rinse each bone with cold running water, scrub them (you can wear rubber gloves for this), and drain well., Wash the pot thoroughly and put the bones back to the clean pot., Fill the pot with water (I added 6�� quarts water to my 10 quarts pot). Cover and cook over high heat for about 30 minutes until the water starts boiling., Reduce the heat to low and simmer for 10 hours. Open the lid and stir the bones with a wooden spoon., Fill the pot with water, cover and simmer for 9 hours., Fill the pot with water again. Increase the heat to medium high heat and cook for 1 hour without the lid., Remove from the heat. Let it cool down a little bit until you can handle it., Remove all the bones from the broth and discard., Strain the broth over a large bowl. Discard the strained bits (or you can eat them). You will get about 22 to 24 cups of white milky bone broth., Let the broth cool to room temperature and refrigerate for several hours or overnight until the thick layer of the fat on the surface is solidified. Remove and discard the solid fat., You can put it into freezer safe containers and freeze up to 3 months., Ladle some hot broth into a bowl and serve with rice, chopped green onion, ground black pepper, kimchi, and other side dishes. When you eat it, add some chopped green onion, ground black pepper, and salt according to your taste, then add some rice and mix it together and eat."
Cold kimchi noodle soup,��ġ���̱���,https://www.maangchi.com/recipe/kimchimari-guksu,"3 cupsdongchimibroth, 2 cups anchovy kelp stock, recipe below (or beef, chicken, or vegetable stock), 1 teaspoon sugar, 1 cupfermented radish kimchi from dongchimi, cut into matchsticks, 1 tablespoongochu-garu (Korean hot pepper flakes), 2 teaspoonstoasted sesame oil, 2 tablespoonstoasted sesame seeds, ground, 2 hard-boiled eggs, shelled and cut in halves, �� English cucumber, cut into matchsticks, 1 small pear, peeled, cored, and cut into matchsticks, 200 grams (about 7 ounces)thin wheat-flour noodles (somyeon)","bosc pear, dongchimi, dried kelp, eggs, english cucumber, hot pepper flakes, Korean pear, pear, sugar, thin noodles, toasted sesame oil, toasted sesame seeds, water,","Combine water, anchovies, and kelp (if used) in a pan. Cover and cook over medium high heat for 20 minutes, Let cool and strain through a fine-mesh strainer over a bowl. You will have about 3 cups of clear stock., Combine the dongchimi broth, 2 cups anchovy kelp stock, and sugar in a bowl. Stir well with a wooden spoon. Cover and keep it in the freezer until it gets slushy, usually about 2 hours., Combine the radish kimchi, hot pepper flakes, and sesame oil in a bowl. Mix well with a spoon., In a large pot, bring 3 quarts of water to a boil over medium high heat. Add the noodles and stir them with a wooden spoon or tongs so that they don��t stick together. Cook for about 3 minutes., When the noodles are cooked, they will float to the surface. Taste one or two noodles: they should be chewy but soft all the way through. If they are slightly hard in the middle, cook them a little longer., Drain the noodles through a strainer and rinse them under cold running water, rubbing with both hands to remove excess starch. You can add ice cubes to cool them down faster. Continue to rinse, strain, and rub the noodles together until they are cold. Portion them evenly between two soup bowls., Add some seasoned radish kimchi, cucumber, pear, and egg to the top of the noodles on each bowl. Sprinkle some of the sesame seeds powder over top of each., Pour the cold icy broth and serve right alway."
Kimchi sujebi,��ġ������,https://www.maangchi.com/recipe/kimchi-sujebi,"2 cups all purpose flour, �� teaspoonkosher salt, 1 tablespoon vegetable oil, �� cup water","dried anchovies, fish sauce, flour, garlic, gochujang, green onion, kimchi, kimchi brine, kosher salt, onion, toasted sesame oil, vegetable oil, water,","Be sure to use the dough blade attachment in your food processor. Pour �� cup water into the bowl, then add the salt, oil, and flour. Process for about 1 to 2 minutes until the dough forms into a ball., Transfer the dough into a plastic bag and knead for another minute through the bag. Set aside to rest while you prepare the soup broth. (You can refrigerate the dough for up to 3 days.), Combine the flour, kosher salt, oil, and �� cup water in a large bowl. Mix with a wooden spoon until the ingredients come together into a lumpy dough., Knead the dough by hand for 10 to 12 minutes, until it forms a smooth ball. Seal in a plastic bag and set aside to rest while preparing the broth. (You can refrigerate the dough for up to 3 days.), Put the cleaned anchovies into a soup pouch and seal it tightly, or wrap them in a cheese cloth, all tied up., In a large pot, combine the water, anchovy pouch, kimchi, kimchi brine, onion, and garlic. Cook for 25 minutes over medium high until the kimchi turns a little soft and the broth is nicely infused with the anchovy flavor. If the soup starts to boil over, crack the lid a bit., Take out the anchovy pouch and discard., Add the fish sauce (or salt to your taste).  Taste the broth and add more fish sauce or salt if you think it needs it. Remove from the heat., Take the dough out of the plastic bag. Knead it on a cutting board or just in your hands for 1 to 2 minutes until it��s soft and smooth., Uncover the soup and bring it back to a boil. Divide the dough ball into 2 pieces so that you can work with the dough more easily. Fill a small bowl with water to wet your hands and fingertips so the dough doesn��t stick to them., Hold a dough ball in one hand and with your other hand pull the dough and stretch out a little bit until you get a paper-thin, bite-size piece, about 2 inches wide by 1�� inches long and �� inch thick. Tear it off and drop it into the boiling soup. It may take 2 or 3 pulls before you can get the dough thin enough., Wet your hands again and continue to stretch and tear off noodles and drop them into the boiling soup, wetting your fingers whenever the dough begins to stick, until all the dough is used up. Repeat it with the other dough piece. Make sure that your noodles are thin, and work as quickly as you can., Stir the noodle soup with a ladle or wooden spoon. Add thegochujang, green onions, cover, and cook for 5 minutes over medium-high heat (crack the lid if necessary to prevent the soup from boiling over), until all the noodles are floating and cooked through., Remove from the heat and stir in thetoasted sesame oil(if used). Ladle the soup into individual bowls and serve right away  with  side  dishes."
Soybean paste soup with spinach and clams,�ñ�ġ���� ���屹,https://www.maangchi.com/recipe/sigeumchi-jogae-doenjangguk,"1 tablespoonkosher salt, 1 pound small clams such as countneck, littlenecks or small steamers, 1 teaspoontoasted sesame oil, 4 ounces (113 grams) beef brisket, chopped, 4 garlic cloves, minced, 7 cups water, �� cupKorean doenjang (fermented soybean paste), 1 tablespoongochujang (hot pepper paste), Bunch spinach (about 10 ounces: 283 grams), leaves split, cut into bite size pieces, washed and drained, 1green chili pepper, chopped, 1red chili pepper, chopped","beef brisket, bunch spinach, clams, doenjang, garlic, gochujang, green chili pepper, kosher salt, red chili pepper, toasted sesame oil, water,","Put the salt in a bowl with 4 cups of cold water. Stir to dissolve. Add the clams and cover with a kitchen towel and let sit for a few hours in the refrigerator so that the clams spit out any grit., Drain and rinse the clams, rubbing and scrubbing the clams with your hands and kitchen brush (if needed) under running cold water. Drain., Heat a large heavy pot over medium high heat and add sesame oil, beef, and garlic. Cook and stir for a few minutes until the beef is no longer pink and the garlic is fragrant.Add the water to the pot, cover, and cook over medium high heat for 25 minutes.Place the soybean paste and hot pepper paste into a stainless mesh strainer and lower it into the soup.Push the paste through the strainer with a spoon so that it goes into the soup. Discard any chunks left over in the strainer.Add the spinach and clams, cover, and cook for 7 to 10 minutes until the clams open and the spinach looks tender.Add the green and red chili pepper. Stir the soup with a ladle and cover. Cook another 3 minutes and remove from the heat.Serve right away with rice, kimchi, and more side dishes if you want., Heat a large heavy pot over medium high heat and add sesame oil, beef, and garlic. Cook and stir for a few minutes until the beef is no longer pink and the garlic is fragrant., Add the water to the pot, cover, and cook over medium high heat for 25 minutes., Place the soybean paste and hot pepper paste into a stainless mesh strainer and lower it into the soup., Push the paste through the strainer with a spoon so that it goes into the soup. Discard any chunks left over in the strainer., Add the spinach and clams, cover, and cook for 7 to 10 minutes until the clams open and the spinach looks tender., Add the green and red chili pepper. Stir the soup with a ladle and cover. Cook another 3 minutes and remove from the heat., Serve right away with rice, kimchi, and more side dishes if you want., Heat a large heavy pot over medium high heat and add sesame oil, beef, and garlic. Cook and stir for a few minutes until the beef is no longer pink and the garlic is fragrant., Add the water to the pot, cover, and cook over medium high heat for 25 minutes., Place the soybean paste and hot pepper paste into a stainless mesh strainer and lower it into the soup., Push the paste through the strainer with a spoon so that it goes into the soup. Discard any chunks left over in the strainer., Add the spinach and clams, cover, and cook for 7 to 10 minutes until the clams open and the spinach looks tender., Add the green and red chili pepper. Stir the soup with a ladle and cover. Cook another 3 minutes and remove from the heat., Serve right away with rice, kimchi, and more side dishes if you want."
Oxtail soup,�Ҳ�����,https://www.maangchi.com/recipe/sokkoritang,"2�� pounds to 3 pounds sliced oxtail, 1�� poundsKorean radish(ordaikon), peeled and cut in half lengthwise, if you use daikon, you don��t have to cut in half lengthwise, 4 garlic cloves, minced, kosher salt","daepa, daikon radish, garlic, ground black pepper, hot pepper flakes, Korean radish, kosher salt, oxtail, soy sauce, toasted sesame oil,","Trim away and discard any excess solid fat attached to the oxtail pieces. Place the oxtails in a large bowl and rinse a few times with cold water to remove any bone fragments. Cover with cold water and soak at least for 3 hours up to overnight, changing the water a few times., Bring 10 cups water to a boil in a heavy and large pot over medium high heat. Add the oxtails and blanch for 12 minutes. Foam and bubbles will float on the surface and the water will be brownish. Drain and rinse the bones thoroughly., Wash out the pot. Add the oxtail bones, radish, garlic, 2 teaspoons salt, and 16 cups water.Cover and cook over medium high heat for 20 to 25 minutes until it comes to a rolling boil., Turn down the heat to between medium and medium low., Simmer for about 2 hours until the radish is fully cooked and the meat is very tender but still attached to the bones., Remove the pot from the heat. Transfer the bones and radish to a bowl and let cool. Put the bones in an airtight container and refrigerate., Cut the radish into about �� inch thick bite-size pieces. Put the radish in an airtight container and refrigerate., Let the broth cool down to room temperature. Refrigerate for several hours or overnight, until the fat floats to the top and solidifies. If it��s cold outside, you can let it cool down on your porch, windowsill, or balcony., Once the broth has cooled and the fat solidified on top, remove the fat with a skimmer and discard. You should be left with 9 to 12 cups of bone broth., Combine the soy sauce, toasted sesame oil, garlic, and hot pepper flakes in a bowl and mix well. Cover and refrigerate."
