Name,Ingredients,link to dish,Making steps
Капуста савойская с рисом и сыром,"['рис', 'яйца', 'капуста савойская', 'молоко', 'мука', 'сливки', 'укроп', 'зелень петрушки', 'масло сливочное']",/recipes/recipe.php?rid=803,"Отварить рассыпчато стакан риса, влить 2 столовые ложки масла, посолить, перемешать. Положить слоями на глубокое блюдо, пересыпая тертым сыром, смазать яйцом, посыпать сыром, сбрызнуть маслом, дать постепенно подрумяниться в духовке. Разрезать савойскую капусту, удалить кочерыжку, пошинковать, слегка отварить в закипевшем подсоленном молоке, процедить. Вскипятить 1,5 стакана отвара, влить в него тонкой струйкой, постоянно помешивая, 0,5 стакана предварительно остуженного отвара, разболтанного с 4 чайными ложками муки. Когда закипит и загустеет, прибавить столовую ложку масла, стакан сливок, соль. Прогреть соус, не кипятя, всыпать рубленый укроп, петрушку. Выложить горячую капусту в салатник, облить ее частью соуса, остальной подать отдельно. Подать одновременно запеченный рис."
Подлива к лапше,"['мясо', 'картофель', 'редька', 'морковь', 'капуста белокочанная', 'лук', 'перец болгарский', 'помидоры', 'чеснок', 'соль', 'лавровый лист', 'масло сливочное', 'соль', 'пряности', 'зелень']",/recipes/recipe.php?rid=863,"Мясо, картофель и редьку нарезать мелкими кубиками, морковь, свеклу и капусту - соломкой, лук и болгарский перец - кольцами. Очень мелко нарезать помидоры и чеснок. В казанке раскалить растительное масло и обжарить мясо до румяной корочки. Добавить лук. Обжарить до золотистого цвета. Затем добавить остальные овощи, обжаривая каждый по 2-3 минуты. Перемешать, посолить, заправить пряностями черным или красным перцем, паприкой, зирой, кориандром, добавить помидоры, чеснок и влить бульон, в котором варилась лапша количество жидкости определяется предпочтением более жидкой или более густой подливы. Тушить на слабом огне до готовности мяса 30-40 минут. В конце приготовления добавить зелень по желанию. Когда будет готова подлива мясная, лапшу ошпарить кипятком, часть лапши переложить в глубокое блюдо и залить подливой. Снова выложить слой лапши и подливы."
Соус из кураги,"['курага', 'сахар', 'вино', 'вода']",/recipes/recipe.php?rid=818,"Курагу промыть в теплой воде, положить в кастрюлю, залить водой и варить до мягкости. Сваренную курагу протереть через сито, пюре положить вновь в кастрюлю, добавить сахар и 50 г воды, все кипятить 5 минут. Снять с огня, добавить вина и размешать."
Шашлык из свинины в казане,"['шея свиная', 'лук репчатый', 'зелень петрушки', 'лаваш', 'лук репчатый', 'зира', 'соль', 'перец чёрный молотый']",/recipes/recipe.php?rid=152600,"Разрезаем мясо на куски размером как для обычного шашлыка. На всякий случай уточню, что это означает то, что мельчить их не нужно, иначе мясо может получиться суховатым. Перекладываем мясо в ёмкость для маринования. Желательно, чтобы она была стеклянная или эмалированная. Добавляем соль и свежемолотый перец по вкусу, а также немного зиры. Примерно пол чайной ложки. Перемешиваем шашлык. Нарезаем пучок петрушки. Нарезаем 1 кг белого лука произвольно. Действительно, нет особой разницы, как вы нарежете лук, потому что он будет тушиться с мясом продолжительное время. Сегодня я захотел нарезать его полукольцами. Берем большую часть из нарезанной ранее петрушки, высыпаем её на лук и переминаем их вместе. Нарезаем 2 головки фиолетового лука. Он нам нужен будет для украшения готового блюда. Разумеется, вы можете использовать обычный белый лук, но фиолетовый слаще, тем более, выглядеть будет красивее, поэтому я сделал выбор именно в его пользу. Разделяем нарезанный лук на кольца, присаливаем его и смешиваем с остатками петрушки. Слегка переминаем всё вместе и оставляем мариноваться. Этот лук нам понадобится только в самом конце рецепта. Ставим казан на очаг. Выкладываем мясо в один слой на дно казана, пока он ещё не разогрелся. Сверху мяса выкладываем слой лука. Выкладываем таким образом, чтобы лук полностью покрывал первый слой мяса. На лук выкладываем второй слой мяса и продолжаем чередовать их. Количество слоёв зависит от размера вашего казана и количества мяса. В моём случае у меня получилось 2 слоя. Важным моментом является то, что самым верхним слоем обязательно должен быть лук В самом конце немного придавливаем содержимое казана ладонью. Накрываем казан крышкой и оставляем его на 10 минут, пока мясо не начнет шкварчать. Когда это произойдёт, перемешиваем содержимое казана. Теперь тушим мясо под крышкой в течение 40 минут, каждые 10 минут помешивая. Через 40 минут мясо будет уже готово, теперь нам предстоит выпарить жидкость, а учитывая, что мы использовали 1 кг лука, жидкости будет немало, Вся влага выпарится в течение 10-15 минут, после этого необходимо задать корочку, и можно снимать шашлык с огня. Шашлык полностью готов, и теперь я предлагаю его красиво сервировать. На блюдо выкладываем лаваш. На лаваш выкладываем шашлык. Украшаем шашлык фиолетовым луком с петрушкой и солью, который мы приготовили заранее. Подаём на стол горячим. Приятного аппетита"
Плов из прожаренного риса,"['рис', 'масло топлёное', 'мясо мягкое', 'жир свиной', 'морковь', 'лук', 'соль', 'специи']",/recipes/recipe.php?rid=634,"Зирвак для этого плова готовят как обычно, с той лишь разницей, что рис предварительно пережаривается. Для этого рис тщательно перебрать и прожарить до приобретения красноватого цвета на топленом масле. Затем приготовить зирвак, по готовности зирвака засыпать жареный рис и плов довести до готовности."
"Шашлык,  обернутый  в  сальную   пленку","['баранина', 'лук', 'соль', 'перец красный', 'перец чёрный', 'кинза', 'уксус виноградный', 'плёнка нутряного сала']",/recipes/recipe.php?rid=705,"Подготовить мясо, как для шашлыка, замариновать его, нанизать на шпажку и, чтобы сохранить в мясе сок, плотно обернуть пленкой нутряного сала, предварительно намазав на одну сторону пленки жидкое тесто мука, разведенная в яйце. При этом сало должно быть нарезано на четырехугольные куски шириной 4 см, длиной 15—17 см. Такой шашлык жарится над слабо горящими углями."
Хасып (колбаски),"['баранина', 'баранина', 'селезенка', 'сало курдючное', 'рис', 'луковицы', 'вода', 'перец', 'соль']",/recipes/recipe.php?rid=37043,"Бараньи кишки пересыпать солью, несколько раз промыть водой, вывернуть, поскоблить и вновь промыть. Мякоть баранины, курдючное сало, селезенку и репчатый лук пропустить через мясорубку и смешать с отваренным до полуготовности рисом, солью, перцем, водой. Полученным фаршем наполнить кишки и завязать их ниткой. Варят колбаски на пару около 30 мин."
Машкичири (каша из маша и риса),"['маш', 'рис', 'мясо', 'жир', 'морковь', 'лук репчатый', 'специи', 'соль']",/recipes/recipe.php?rid=111619,"Ломтики мяса, нарезанные морковь, лук обжаривают в сильно разогретом жире. Наливают воды, кладут промытый маш и варят на слабом огне. Когда зерна маша полопаются, добавляют соль, специи и рис. Продолжают варить, часто помешивая, чтобы каша не пригорела. Готовая каша должна постоять 1015 минут."
Курица отварная с кизиловой подливкой,"['курица', 'кизил', 'изюм', 'сахар']",/recipes/recipe.php?rid=811,"Подготовленную и промытую курицу отварить до готовности. Бульон слить, процедить, курицу нарезать па порции. Промытый изюм и сушеный кизил без косточек положить в кастрюлю и залить горячим процеженным бульоном на столько, чтобы были покрыты ягоды, затем добавить сахар, накрыть кастрюлю крышкой, варить 5 — 10 минут. При подаче на стол сваренную курицу уложить па середину блюда и полить кизиловой подливкой."
Ферганский плов,"['баранина', 'рёбрышки бараньи', 'телятина', 'сало курдючное', 'рис', 'морковь', 'лук', 'чеснок', 'перец стручковый', 'зира', 'соль', 'барбарис']",/recipes/recipe.php?rid=23368,"Нарезать крупную красную морковь. Рис перебрать и тщательно промыть. Замочить рис в большом количестве тёплой воды. Сало нарезать кубиками по 5 мм, казан раскалить на сильном огне, положить сало и вытопить жир. Шкварки вынуть. Если сала нет, нагреть в казане масло до легкого дымка и положить в него очищенную целую луковицу. Когда она обжарится до черноты, вынуть ее шумовкой и выбросить. В очень горячий жир или масло положить баранью косточку и дольки от спины. Жарить, переворачивая, 5-6 мин. до золотисто-коричневого цвета. Вынуть мясо из казана, подождать, пока разогреется масло и положить нарезанный кольцами лук. Обжарить, помешивая, до красно-золотистого цвета. Положить в казан мякоть баранины и обжарить мясо, иногда помешивая, вместе с луком. Всыпать нарезанную морковь, через 2-3 мин. осторожно перемешать. Обжаривать, помешивая, 10-15 мин. затем убавить огонь до среднего и засыпать часть зиры. Положить очищенные от внешней шелухи и корней целые головки чеснока и целый, без повреждений, стручковый перец. Снова положить в казан дольки от спины либо косточку, которую жарили вначале. После того, как всё закипит, необходимо уменьшить огонь до слабого. Кипятить все в открытом казане около 40 мин. Снова увеличить огонь до максимума, посолить, косточку вынуть.. Слить воду с замоченного риса, шумовкой выложить его равномерно в казан, разравнивая по поверхности, и залить примерно литром кипятка — осторожно, чтобы не повредить слой риса. Огонь увеличить до максимума, чтобы скорее закипело. Рис не перемешивать с нижними слоями моркови и мяса. Когда вода с поверхности совсем уйдёт, а рис уже не будет хрустеть на зубах, проверить, чтобы воды в казане не осталось и уменьшить огонь до минимума. Посыпать рис слегка размолотой зирой и плотно закрыть казан крышкой на 20-25 мин. Рис разрыхлить, осторожно, чтобы не разломить, вынуть стручки перца и чеснок, ребрышки тоже отложить. Выложить рис на большое блюдо горкой, сверху выложить головки чеснока, перец и ребрышки."
