Name,Link to the dish,Ingredients,Making Steps,Ingredients_without_quantity
꽁치무조림,http://www.lampcook.com/food/food_fusion_view.php?idx_no=427,"물(1/2컵), 식용유(1큰술), 진간장(2큰술), 생강즙(약간), 다진파(1큰술), 다진마늘(1작은술), 고춧가루(1/2큰술)",1. 꽁치통조림을 체에 쏟아 국물은 따로 받아놓는다. 2. 무는 3cm 길이로 토막낸 후 반으로 갈라 도톰하게 썬다. 3. ①의 꽁치국물에 양념을 분량대로 섞어 양념장을 만든다. 4. 깊이가 얕은 냄비에 무를 깔고 꽁치를 가지런히 놓은 다음 양념장을 고루 끼얹어 불에 올린다. 5. 뚜껑을 열어 놓은 채로 가끔 조림국물을 끼얹으면서 무가 무르게 익을 때까지 조린다.,"물, 식용유, 진간장, 생강즙, 다진파, 다진마늘, 고춧가루"
부추전,http://www.lampcook.com/food/food_fusion_view.php?idx_no=430,"청고추(2개), 홍고추(2개), 밀가루(3컵), 계란(1개), 소금(약간)","1. 부추는 싱싱한 것으로 골라 흐르는 물에 씻어 4cm 길이로 자른다. 2. 고추는 송송 썰어 씨를 털어낸다. 3. 그릇에 밀가루를 담고 소금으로 간을 한 뒤 계란과 물을 부어 멍울이 없도록 잘 풀어주고, 썰어 놓은 부추를 넣어 반죽을 한다. 4. 달군 프라이팬에 기름을 두르고 ③의 반죽을 한 국자씩 얹고 위에 청고추와 홍고추를 얹어 지진다. 5. 한 면이 노릇하게 익으면 뒤집어 마저 익힌 다음 먹기 좋은 크기로 썰어 낸다.","청고추, 홍고추, 밀가루, 계란, 소금"
닭불고기,http://www.lampcook.com/food/food_fusion_view.php?idx_no=498,"고추장(2큰술), 대파(1뿌리), 마늘(3쪽), 간장(5큰술), 고춧가루(1과1/2큰술), 생강즙(1큰술), 깨소금(약간), 후춧가루(약간)","1. 닭은 깨끗이 씻어 먹기 좋은 크기로 8토막 내 뼈를 발라낸 다음 골고루 칼집을 낸다. 2. 넓은 그릇에 다진 파, 마늘, 간장, 고춧가루, 생강즙 등 분량의 양념장 재료를 모두 넣어 섞는다. 3. 닭고기에 양념장을 고루 버무려 30분 정도 재워둔다. 4. 팬에 기름을 두르고 중불에서 너무 바삭해지지 않도록 적당히 익혀낸다.","고추장, 대파, 마늘, 간장, 고춧가루, 생강즙, 깨소금, 후춧가루"
수정과,http://www.lampcook.com/food/food_fusion_view.php?idx_no=367,"곶감(10개), 호두(10알), 잣(2큰술), 황설탕(280g)",1. 생강은 껍질을 벗겨 씻은 뒤 얇게 저민다. 2. 통계피는 씻어서 잘게 부순다. 3. 곶감은 가루를 털고 젖은 수건으로 표면을 깨끗이 닦은 뒤 꼭지와 밑동을 살짝 자른 다음 옆면을 칼로 잘라 씨를 발라낸다. 4. 호두는 통째로 미지근한 설탕물에 잠시 담갔다가 꺼내어 꼬치로 껍질을 벗긴다. 5. 곶감을 넓게 편 다음 호두를 넣고 김발로 꼭꼭 말아 곶감쌈을 만든다. 6. 생강은 찬물 10컵을 붓고 향이 우러나도록 약한 불에서 30~40분간 끓인다.,"곶감, 호두, 잣, 황설탕"
버섯매운탕,http://www.lampcook.com/food/food_fusion_view.php?idx_no=152,"양파(30g), 감자(30g), 호박(20g), 쑥갓(10g), 국간장(3큰술), 고춧가루(5큰술), 마늘(1큰술), 소금(약간), 후춧가루(약간)","1. 냄비에 물을 넉넉하게 올리고 쇠고기를 넣고 끓인다. 이때 약간의 국간장을 넣는다. 2. 한 번 국물이 팔팔 끓은 다음 중간불로 줄인 후 썰어둔 감자와 양파를 넣고 고춧가루, 후춧가루 등의 양념을 넣는다. 3. 여기서 다른 한쪽에서는 국수를 준비한다. 물을 끓인 후 칼국수를 넣고 쌀짝 데치듯이 삶아 논다. 4. 옆에서 계속 끓고 있는 국물의 간을 맞춘다. 국간장이나 소금 어느 것으로 해도 좋으며 준비해둔 마늘과 버섯, 호박, 쑥갓, 파 등을 넣고 끓이면서 먹으면 더욱 맛있다.(버섯 중 느타리 버섯은 손으로 찢어 손질한다)","양파, 감자, 호박, 쑥갓, 국간장, 고춧가루, 마늘, 소금, 후춧가루"
전복죽,http://www.lampcook.com/food/food_fusion_view.php?idx_no=85,"물(6컵), 실파(약간), 김(약간), 참기름(약간), 소금(약간), 깨소금(약간)","1. 전복은 껍질과 내장을 떼낸 뒤 솔로 전복살을 깨끗이 문질러 씻은 다음 얇게 저며 썬다. 2. 쌀은 씻어 물에 불린 뒤 믹서에 넣고 너무 곱지 않게 간다. 3. 달군 냄비에 참기름을 두르고 준비한 전복을 넣고 볶다가 쌀과 물 6컵을 붓고 중불에서 은근히 끓인다. 4. 쌀알이 푹 퍼지면 소금 간을 한 뒤 그릇에 담은 다음, 채썬 김과 송송 썬 실파를 고명으로 얹는다.","물, 실파, 김, 참기름, 소금, 깨소금"
가래떡꼬치,http://www.lampcook.com/food/food_fusion_view.php?idx_no=375,"적파프리카(1/2개), 황파프리카(1/2개), 브로콜리(약간), 고추장(1큰술), 간장(1작은술), 다진마늘(1작은술), 토마토케첩(1큰술), 설탕(2작은술), 참기름(1작은술), 꼬치(3개)","1. 가래떡은 3cm 길이로 썰어서 끓는 물에 데쳐낸다. 2. 파프리카는 떡 크기에 맞춰 썰어 살짝 데치고, 브로콜리는 작은 줄기로 떼어내 끓는 소금물에 데쳐낸다. 3. 분량의 양념 재료를 섞어 양념장을 만든다. 4. 꼬치에 떡, 파프리카, 브로콜리 순으로 꽂는다. 5. ④에 양념장을 발라 떡이 고루 익을 때까지 그릴에 굽는다.","적파프리카, 황파프리카, 브로콜리, 고추장, 간장, 다진마늘, 토마토케첩, 설탕, 참기름, 꼬치"
콩나물미나리무침,http://www.lampcook.com/food/food_fusion_view.php?idx_no=174,"고춧가루(1큰술), 소금(약간), 참기름(약간), 깨소금(약간), 다진파(약간), 다진마늘(약간)","1. 콩나물은 꼬리를 다듬어 제거한다. 2. 끓는물에 소금을 약간 넣고 콩나물을 살짝 데쳐낸다. 3. 미나리는 길이 6cm 정도로 썰어 소금물에 살짝 데쳐낸다. 4. 데친 콩나물과 미나리는 물기를 제거한다. 5. 고춧가루, 소금, 참기름, 깨소금, 다진 파, 다진 마늘을 섞어 양념장을 만든다. 6. 콩나물과 미나리를 ⑤의 양념장에 무친다.","고춧가루, 소금, 참기름, 깨소금, 다진파, 다진마늘"
인절미,http://www.lampcook.com/food/food_fusion_view.php?idx_no=199,"콩(1/2컵), 소금(1큰술)","1. 콩을 씻어 일어 건진다음 콩조각과 껍질을 버리고 소금 1/2작은술을 넣고 곱게 빻는다. 2. 불린 찹쌀의 물기를 빼고 찐다. 익을 무렵 물에 소금을 풀어 익어가는 밥에 끼얹어 주걱으로 뒤적거리고 다시 찐다. 3. 절구에 밥을 넣고 절굿공이를 간간한 소금물에 적셔 가며 잘 찧는다. 4. 넓은 양푼에 콩가루를 체로 쳐서 깔아놓고, 그 위에 떡을 평평하게 놓는다. 그 위에 다시 콩가루를 체로 쳐서 떡을 덮는다. 5. 떡을 손질하여 작은 접시를 굴려 떡의 폭을 자른 뒤 도마에 놓고 썬다. 6. 썬 인절미에 다시 콩가루를 묻힌다.","콩, 소금"
깻잎말이김치,http://www.lampcook.com/food/food_fusion_view.php?idx_no=92,"홍고추(50g), 청고추(50g), 다진마늘(60g), 대추(10개), 대파(30g), 양파(1/2개), 다진생강(1쪽), 멸치(10마리), 멸치액젓(3/4컵), 설탕(1컵), 물(2컵)","1. 깻잎은 잘 씻어 소금물(물 4컵, 소금 1.5큰술)에 절여 체에 밭쳐둔다. 2. 대파, 양파, 생강, 멸치, 액젓, 설탕, 물을 넣고 끓여 국물만 걸러 식혀서 사용한다. 3. 고추는 반으로 갈라 씨를 털어낸 후 3cm 길이로 잘라서 사용하고 모든 재료는 곱게 채를 썬다. 4. 잘 절여진 깻잎 여러장을 겹쳐 소를 넣고 돌돌 말은 후 통에 가진런히 담아 국물을 부은 후 냉장보관하여 먹는다.","홍고추, 청고추, 다진마늘, 대추, 대파, 양파, 다진생강, 멸치, 멸치액젓, 설탕, 물"
